Date,Open,High,Low,Close,Volume
2020-01-01,180.38832510003527,181.09864118332274,179.9345875281036,180.0,43670507
2020-01-02,181.6852043644603,182.16084161316402,181.32535840820648,181.69919828053088,20776067
2020-01-03,181.31088876440248,181.5075259773927,181.29258524433237,181.37350880261326,4661306
2020-01-06,183.97393336037922,184.06556010070167,183.61486705980505,183.64936618549336,11412577
2020-01-07,189.12821885664619,190.25351839985223,187.2468329755112,188.881795024226,35551489
2020-01-08,187.7292930170567,188.63070275611813,186.91537840741927,188.3230349275352,31674998
2020-01-09,188.35260596000066,188.08016569601838,187.75921888192076,187.79802324216902,17102153
2020-01-10,193.96801941904968,194.03588635772886,193.0056473394536,193.43410594462685,16485919
2020-01-13,196.19537470753463,197.55971563774395,195.50652957418777,196.44114721701604,4674153
2020-01-14,195.30169365603626,196.1611125929673,194.15082870069978,195.14721374255674,5748584
2020-01-15,197.63452088317504,197.51423308878978,196.97202866755742,197.43943879771746,32305676
2020-01-16,196.30540749586558,196.86086942144271,195.94055740285626,196.2031174848632,25080614
2020-01-17,194.76786204381722,196.0274285607585,194.1569344995866,194.98246175103935,3212292
2020-01-20,196.00192429958184,197.79030402002715,194.1780499923542,196.2655573688825,32054217
2020-01-21,189.94209839211874,190.72860456621356,189.85769076930248,189.951806476014,21395529
2020-01-22,184.92262403786407,184.8371294930718,183.9338390490519,184.4899106938017,29116325
2020-01-23,183.24587664537978,183.8724565930084,182.65124613745402,183.04686803385732,35938842
2020-01-24,179.99439851940502,180.91116747855185,179.7045740968941,180.1279144928447,11695807
2020-01-27,181.83226821332653,182.57368625464608,180.9097065312688,181.55206123019278,15174898
2020-01-28,177.96367416464327,180.04778228054437,178.34602126265222,178.98335760971275,26451924
2020-01-29,175.2149610175001,176.24912750006115,174.71659301762224,174.8133219211179,13646791
2020-01-30,179.15488726586491,180.58999008491082,178.97442663222452,179.78042021426745,8330395
2020-01-31,179.26563193195162,179.96829634927693,178.64043144803688,179.39567260487675,36603312
2020-02-03,179.53362402631817,180.23221552721944,179.6043937580203,179.93656313168023,3469606
2020-02-04,175.16601683843436,176.15042391855837,173.06812529327013,175.62076273496425,47861389
2020-02-05,174.568991741719,174.63846887986213,173.83823803242643,174.1646417785376,2045533
2020-02-06,174.5828025257085,174.888497855661,173.83885235192437,174.74626059772115,35840276
2020-02-07,171.44868375851146,171.36500417404363,169.93251874671606,171.32995077251263,5673584
2020-02-10,172.64097381086953,173.52235044066757,171.58892321487124,172.65717616017568,27722056
2020-02-11,171.09057853404119,171.56063600785112,170.83399515959152,170.9274997422967,1787600
2020-02-12,170.15841590224537,170.5688470969172,169.0020526944944,170.13227613587907,39056004
2020-02-13,167.92561868848523,168.55005441797292,168.09398676169445,168.35762172760403,17419897
2020-02-14,174.35126777801355,174.86966445954215,173.4768860737057,174.0045578431901,41516280
