Date,Sales
2022-01-01,57.450712295168486
2022-01-02,48.498613107832035
2022-01-03,60.860381308531515
2022-01-04,74.56277269743478
2022-01-05,48.776989924328774
2022-01-06,49.34879413192675
2022-01-07,77.1200891952582
2022-01-08,65.51385535126242
2022-01-09,47.52994367150586
2022-01-10,63.27937158762303
2022-01-11,48.75770251427367
2022-01-12,49.29000341842519
2022-01-13,60.47125009826016
2022-01-14,28.7072631198967
2022-01-15,32.09603486438698
2022-01-16,50.09741049795573
2022-01-17,43.89966438219543
2022-01-18,64.36463718535407
2022-01-19,46.58765240140351
2022-01-20,39.578737257196906
2022-01-21,83.30139957136768
2022-01-22,58.4813984841746
2022-01-23,63.430244978360626
2022-01-24,41.593186884181705
2022-01-25,55.34347097103624
2022-01-26,65.71547345497196
2022-01-27,47.326681249034806
2022-01-28,70.76444067163713
2022-01-29,56.65411913320188
2022-01-30,61.82027512162666
2022-01-31,57.69922688825174
2022-02-01,95.0352172154524
2022-02-02,67.57178984930135
2022-02-03,52.42868607176995
2022-02-04,81.1494370225258
2022-02-05,51.0122479561657
2022-02-06,72.96813747633914
2022-02-07,40.94697046549351
2022-02-08,50.92254575558405
2022-02-09,74.2979630958953
2022-02-10,82.9180648090589
2022-02-11,74.9038460321565
2022-02-12,71.08700922491236
2022-02-13,68.78966854099309
2022-02-14,51.60888758941855
2022-02-15,63.46547601785203
2022-02-16,67.8258339862615
2022-02-17,91.06030776650792
2022-02-18,80.82151891239567
2022-02-19,49.68105403536224
2022-02-20,81.44290082464842
2022-02-21,71.25589794787236
2022-02-22,67.32423313554759
2022-02-23,87.09451408875313
2022-02-24,93.82098172422047
2022-02-25,92.75706059246099
2022-02-26,66.62665634556258
2022-02-27,74.99892551968493
2022-02-28,85.02332871616312
2022-03-01,95.09983837208914
2022-03-02,73.68629573482302
2022-03-03,78.49118308390408
2022-03-04,65.07806063434695
2022-03-05,64.12181248149282
2022-03-06,94.63938641122266
2022-03-07,103.17640047000903
2022-03-08,82.12861758303264
2022-03-09,98.63235688505507
2022-03-10,89.36908028529835
2022-03-11,74.62746201004131
2022-03-12,90.07941381890205
2022-03-13,108.0777153179279
2022-03-14,84.81289332627715
2022-03-15,109.15745182977983
2022-03-16,46.72349713944171
2022-03-17,98.67442091430723
2022-03-18,87.97210295018564
2022-03-19,82.49607685584122
2022-03-20,88.66663992956313
2022-03-21,57.77996279146504
2022-03-22,84.59589127051791
2022-03-23,93.53931559264954
2022-03-24,110.63686070621709
2022-03-25,80.97436831714006
2022-03-26,76.89512233674164
2022-03-27,81.76439517817492
2022-03-28,103.28411488482173
2022-03-29,94.7407798056885
2022-03-30,82.11362956751894
2022-03-31,98.00364642469034
2022-04-01,91.99947848529787
2022-04-02,105.3057453604797
2022-04-03,80.47210297498012
2022-04-04,86.30887012710939
2022-04-05,85.55715922933018
